Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Mounjaro,0002-1152-01,2.5 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215866,Eli Lilly and Company,0002-1152,tirzepatide,TIRZEPATIDE,HUMAN PRESCRIPTION DRUG,07/28/2023,N/A,NDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0002-1152-01) / .5 mL in 1 VIAL, SINGLE-DOSE","G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",N/A,No,12/31/2027
Mounjaro,0002-1243-01,5 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215866,Eli Lilly and Company,0002-1243,tirzepatide,TIRZEPATIDE,HUMAN PRESCRIPTION DRUG,07/28/2023,N/A,NDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0002-1243-01) / .5 mL in 1 VIAL, SINGLE-DOSE","G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",N/A,No,12/31/2027
Mounjaro,0002-1457-80,15 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215866,Eli Lilly and Company,0002-1457,tirzepatide,TIRZEPATIDE,HUMAN PRESCRIPTION DRUG,05/13/2022,N/A,NDA,4 SYRINGE in 1 CARTON (0002-1457-80) / .5 mL in 1 SYRINGE (0002-1457-01),"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",N/A,No,12/31/2027
Mounjaro,0002-1460-80,12.5 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215866,Eli Lilly and Company,0002-1460,tirzepatide,TIRZEPATIDE,HUMAN PRESCRIPTION DRUG,05/13/2022,N/A,NDA,4 SYRINGE in 1 CARTON (0002-1460-80) / .5 mL in 1 SYRINGE (0002-1460-01),"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",N/A,No,12/31/2027
Mounjaro,0002-1471-80,10 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215866,Eli Lilly and Company,0002-1471,tirzepatide,TIRZEPATIDE,HUMAN PRESCRIPTION DRUG,05/13/2022,N/A,NDA,4 SYRINGE in 1 CARTON (0002-1471-80) / .5 mL in 1 SYRINGE (0002-1471-01),"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",N/A,No,12/31/2027
Mounjaro,0002-1484-80,7.5 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215866,Eli Lilly and Company,0002-1484,tirzepatide,TIRZEPATIDE,HUMAN PRESCRIPTION DRUG,05/13/2022,N/A,NDA,4 SYRINGE in 1 CARTON (0002-1484-80) / .5 mL in 1 SYRINGE (0002-1484-01),"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",N/A,No,12/31/2027
Mounjaro,0002-1495-80,5 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215866,Eli Lilly and Company,0002-1495,tirzepatide,TIRZEPATIDE,HUMAN PRESCRIPTION DRUG,05/13/2022,N/A,NDA,4 SYRINGE in 1 CARTON (0002-1495-80) / .5 mL in 1 SYRINGE (0002-1495-01),"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",N/A,No,12/31/2027
Mounjaro,0002-1506-61,2.5 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215866,Eli Lilly and Company,0002-1506,tirzepatide,TIRZEPATIDE,HUMAN PRESCRIPTION DRUG,06/08/2022,N/A,NDA,4 SYRINGE in 1 CARTON (0002-1506-61) / .5 mL in 1 SYRINGE,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",N/A,Yes,12/31/2027
Mounjaro,0002-1506-80,2.5 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215866,Eli Lilly and Company,0002-1506,tirzepatide,TIRZEPATIDE,HUMAN PRESCRIPTION DRUG,05/13/2022,N/A,NDA,4 SYRINGE in 1 CARTON (0002-1506-80) / .5 mL in 1 SYRINGE (0002-1506-01),"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",N/A,No,12/31/2027
Mounjaro,0002-2214-01,7.5 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA215866,Eli Lilly and Company,0002-2214,tirzepatide,TIRZEPATIDE,HUMAN PRESCRIPTION DRUG,07/28/2023,N/A,NDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0002-2214-01) / .5 mL in 1 VIAL, SINGLE-DOSE","G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",N/A,No,12/31/2027
